class_label,file_name,file_ext,width,height,aspect_ratio,pixels,file_size_kb,color_mode
Kaca,R_3881.jpg,.jpg,225,225,1.0,50625,4.59,RGB
Kaca,R_3882.jpg,.jpg,225,225,1.0,50625,2.4,RGB
Kaca,R_3883.jpg,.jpg,261,193,1.3523,50373,6.02,RGB
Kaca,R_3884.jpg,.jpg,159,318,0.5,50562,8.7,RGB
Kaca,R_3885.jpg,.jpg,225,225,1.0,50625,5.54,RGB
Kaca,R_3886.jpg,.jpg,183,275,0.6655,50325,5.25,RGB
Kaca,R_3887.jpg,.jpg,225,225,1.0,50625,4.1,RGB
Kaca,R_3888.jpg,.jpg,300,168,1.7857,50400,7.94,RGB
Kaca,R_3889.jpg,.jpg,194,259,0.749,50246,3.56,RGB
Kaca,R_3890.jpg,.jpg,225,225,1.0,50625,3.32,RGB
Kaca,R_3891.jpg,.jpg,225,225,1.0,50625,12.49,RGB
Kaca,R_3892.jpg,.jpg,174,289,0.6021,50286,4.31,RGB
Kaca,R_3893.jpg,.jpg,183,275,0.6655,50325,4.64,RGB
Kaca,R_3894.jpg,.jpg,183,275,0.6655,50325,4.38,RGB
Kaca,R_3895.jpg,.jpg,225,225,1.0,50625,2.93,RGB
Kaca,R_3896.jpg,.jpg,190,266,0.7143,50540,3.02,RGB
Kaca,R_3897.jpg,.jpg,225,225,1.0,50625,4.73,RGB
Kaca,R_3898.jpg,.jpg,259,194,1.3351,50246,5.85,RGB
Kaca,R_3899.jpg,.jpg,183,275,0.6655,50325,5.15,RGB
Kaca,R_3900.jpg,.jpg,225,225,1.0,50625,4.49,RGB
Kaca,R_3901.jpg,.jpg,210,240,0.875,50400,1.98,RGB
Kaca,R_3902.jpg,.jpg,185,272,0.6801,50320,5.46,RGB
Kaca,R_3903.jpg,.jpg,244,206,1.1845,50264,3.37,RGB
Kaca,R_3904.jpg,.jpg,225,225,1.0,50625,4.76,RGB
Kaca,R_3905.jpg,.jpg,225,225,1.0,50625,9.6,RGB
Kaca,R_3906.jpg,.jpg,293,172,1.7035,50396,12.23,RGB
Kaca,R_3908.jpg,.jpg,226,223,1.0135,50398,8.64,RGB
Kaca,R_3909.jpg,.jpg,194,259,0.749,50246,2.55,RGB
Kaca,R_3910.jpg,.jpg,275,183,1.5027,50325,6.57,RGB
Kaca,R_3911.jpg,.jpg,295,171,1.7251,50445,6.61,RGB
Kaca,R_3912.jpg,.jpg,273,185,1.4757,50505,10.28,RGB
Kaca,R_3913.jpg,.jpg,267,189,1.4127,50463,2.67,RGB
Kaca,R_3914.jpg,.jpg,246,205,1.2,50430,3.81,P
Kaca,R_3915.jpg,.jpg,224,225,0.9956,50400,9.34,RGB
Kaca,R_3916.jpg,.jpg,259,194,1.3351,50246,3.79,RGB
Kaca,R_3917.jpg,.jpg,265,190,1.3947,50350,1.97,RGB
Kaca,R_3918.jpg,.jpg,225,225,1.0,50625,2.57,RGB
Kaca,R_3919.jpg,.jpg,259,194,1.3351,50246,3.31,RGB
Kaca,R_3920.jpg,.jpg,219,230,0.9522,50370,14.69,RGB
Kaca,R_3921.jpg,.jpg,287,176,1.6307,50512,3.62,RGB
Kaca,R_3922.jpg,.jpg,210,240,0.875,50400,1.96,RGB
Kaca,R_3923.jpg,.jpg,225,225,1.0,50625,7.39,RGB
Kaca,R_3924.jpg,.jpg,225,225,1.0,50625,8.55,RGB
Kaca,R_3925.jpg,.jpg,259,194,1.3351,50246,6.74,RGB
Kaca,R_3926.jpg,.jpg,183,275,0.6655,50325,6.79,RGB
Kaca,R_3927.jpg,.jpg,183,275,0.6655,50325,2.96,RGB
Kaca,R_3928.jpg,.jpg,225,225,1.0,50625,6.83,RGB
Kaca,R_3929.jpg,.jpg,300,168,1.7857,50400,3.29,RGB
Kaca,R_3930.jpg,.jpg,286,176,1.625,50336,7.41,RGB
Kaca,R_3931.jpg,.jpg,275,183,1.5027,50325,5.87,RGB
Kaca,R_3932.jpg,.jpg,92,212,0.434,19504,2.57,RGB
Kaca,R_3933.jpg,.jpg,275,183,1.5027,50325,1.81,RGB
Kaca,R_3934.jpg,.jpg,205,246,0.8333,50430,2.17,P
Kaca,R_3935.jpg,.jpg,225,225,1.0,50625,8.06,RGB
Kaca,R_3936.jpg,.jpg,225,225,1.0,50625,6.44,RGB
Kaca,R_3937.jpg,.jpg,159,318,0.5,50562,6.23,RGB
Kaca,R_3939.jpg,.jpg,225,225,1.0,50625,5.94,RGB
Kaca,R_3940.jpg,.jpg,195,259,0.7529,50505,3.26,RGB
Kaca,R_3941.jpg,.jpg,294,171,1.7193,50274,16.36,RGB
Kaca,R_3942.jpg,.jpg,225,225,1.0,50625,10.14,RGB
Kaca,R_3943.jpg,.jpg,194,259,0.749,50246,5.0,RGB
Kaca,R_3944.jpg,.jpg,75,258,0.2907,19350,2.69,RGB
Kaca,R_3945.jpg,.jpg,224,224,1.0,50176,4.66,RGB
Kaca,R_3946.jpg,.jpg,225,225,1.0,50625,3.88,RGB
Kaca,R_3947.jpg,.jpg,225,225,1.0,50625,2.27,P
Kaca,R_3948.jpg,.jpg,161,314,0.5127,50554,5.76,RGB
Kaca,R_3949.jpg,.jpg,210,240,0.875,50400,3.51,RGB
Kaca,R_3950.jpg,.jpg,183,276,0.663,50508,3.11,RGB
Kaca,R_3951.jpg,.jpg,225,225,1.0,50625,5.56,RGB
Kaca,R_3952.jpg,.jpg,74,264,0.2803,19536,5.59,RGB
Kaca,R_3953.jpg,.jpg,225,225,1.0,50625,5.95,RGB
Kaca,R_3954.jpg,.jpg,194,259,0.749,50246,4.28,RGB
Kaca,R_3955.jpg,.jpg,225,225,1.0,50625,9.65,RGB
Kaca,R_3957.jpg,.jpg,327,154,2.1234,50358,13.12,RGB
Kaca,R_3958.jpg,.jpg,74,264,0.2803,19536,4.54,RGB
Kaca,R_3959.jpg,.jpg,93,210,0.4429,19530,2.32,RGB
Kaca,R_3960.jpg,.jpg,194,259,0.749,50246,5.87,RGB
Kaca,R_3961.jpg,.jpg,202,250,0.808,50500,7.83,RGB
Kaca,R_3962.jpg,.jpg,225,225,1.0,50625,9.37,RGB
Kaca,R_3963.jpg,.jpg,225,225,1.0,50625,7.04,P
Kaca,R_3964.jpg,.jpg,225,225,1.0,50625,2.82,RGB
Kaca,R_3966.jpg,.jpg,200,200,1.0,40000,1.49,P
Kaca,R_3967.jpg,.jpg,219,230,0.9522,50370,8.75,RGB
Kaca,R_3968.jpg,.jpg,254,198,1.2828,50292,7.22,RGB
Kaca,R_3969.jpg,.jpg,194,259,0.749,50246,7.11,RGB
Kaca,R_3970.jpg,.jpg,259,194,1.3351,50246,7.28,RGB
Kaca,R_3971.jpg,.jpg,201,251,0.8008,50451,6.55,RGB
Kaca,R_3972.jpg,.jpg,168,299,0.5619,50232,4.25,RGB
Kaca,R_3973.jpg,.jpg,194,259,0.749,50246,2.93,RGB
Kaca,R_3974.jpg,.jpg,225,225,1.0,50625,4.74,RGB
Kaca,R_3975.jpg,.jpg,70,277,0.2527,19390,2.79,RGB
Kaca,R_3976.jpg,.jpg,225,225,1.0,50625,4.95,RGB
Kaca,R_3977.jpg,.jpg,210,240,0.875,50400,3.66,RGB
Kaca,R_3978.jpg,.jpg,225,225,1.0,50625,6.62,RGB
Kaca,R_3979.jpg,.jpg,194,259,0.749,50246,9.4,RGB
Kaca,R_3980.jpg,.jpg,168,301,0.5581,50568,10.11,RGB
Kaca,R_3981.jpg,.jpg,225,225,1.0,50625,4.93,RGB
Kaca,R_3982.jpg,.jpg,270,186,1.4516,50220,10.89,RGB
Kaca,R_3983.jpg,.jpg,225,225,1.0,50625,3.49,RGB
Kaca,R_3984.jpg,.jpg,225,225,1.0,50625,4.01,RGB
Kaca,R_3985.jpg,.jpg,225,225,1.0,50625,5.65,RGB
Kaca,R_3986.jpg,.jpg,220,229,0.9607,50380,7.96,RGB
Kaca,R_3987.jpg,.jpg,225,225,1.0,50625,9.86,RGB
Kaca,R_3988.jpg,.jpg,225,225,1.0,50625,7.16,RGB
Kaca,R_3989.jpg,.jpg,275,183,1.5027,50325,11.14,RGB
Kaca,R_3990.jpg,.jpg,202,249,0.8112,50298,3.89,RGB
Kaca,R_3991.jpg,.jpg,224,224,1.0,50176,8.86,RGB
Kaca,R_3992.jpg,.jpg,194,259,0.749,50246,2.89,RGB
Kaca,R_3993.jpg,.jpg,162,311,0.5209,50382,5.87,RGB
Kaca,R_3994.jpg,.jpg,225,225,1.0,50625,4.47,RGB
Kaca,R_3995.jpg,.jpg,80,243,0.3292,19440,2.47,RGB
Kaca,R_3996.jpg,.jpg,159,318,0.5,50562,10.23,RGB
Kaca,R_3997.jpg,.jpg,225,225,1.0,50625,3.17,RGB
Kaca,R_3998.jpg,.jpg,225,225,1.0,50625,3.57,RGB
Kaca,R_3999.jpg,.jpg,204,248,0.8226,50592,7.09,RGB
Kaca,R_4000.jpg,.jpg,294,172,1.7093,50568,7.86,RGB
Kaca,R_4001.jpg,.jpg,225,225,1.0,50625,5.86,RGB
Kaca,R_4003.jpg,.jpg,284,177,1.6045,50268,10.21,RGB
Kaca,R_4007.jpg,.jpg,159,318,0.5,50562,1.51,P
Kaca,R_4008.jpg,.jpg,280,180,1.5556,50400,8.28,RGB
Kaca,R_4009.jpg,.jpg,225,225,1.0,50625,11.03,RGB
Kaca,R_4010.jpg,.jpg,259,194,1.3351,50246,5.53,RGB
Kaca,R_4011.jpg,.jpg,225,225,1.0,50625,6.71,RGB
Kaca,R_4012.jpg,.jpg,194,259,0.749,50246,6.22,RGB
Kaca,R_4013.jpg,.jpg,246,205,1.2,50430,4.81,RGB
Kaca,R_4014.jpg,.jpg,225,225,1.0,50625,4.84,RGB
Kaca,R_4015.jpg,.jpg,225,225,1.0,50625,1.97,P
Kaca,R_4016.jpg,.jpg,225,225,1.0,50625,2.94,P
Kaca,R_4017.jpg,.jpg,240,210,1.1429,50400,10.85,RGB
Kaca,R_4018.jpg,.jpg,250,201,1.2438,50250,7.52,RGB
Kaca,R_4019.jpg,.jpg,225,225,1.0,50625,3.48,RGB
Kaca,R_4020.jpg,.jpg,232,217,1.0691,50344,11.0,RGB
Kaca,R_4021.jpg,.jpg,225,225,1.0,50625,5.41,RGB
Kaca,R_4022.jpg,.jpg,275,183,1.5027,50325,2.8,RGB
Kaca,R_4023.jpg,.jpg,225,225,1.0,50625,3.95,RGB
Kaca,R_4024.jpg,.jpg,225,225,1.0,50625,5.31,RGB
Kaca,R_4025.jpg,.jpg,194,259,0.749,50246,8.29,RGB
Kaca,R_4026.jpg,.jpg,259,194,1.3351,50246,9.32,RGB
Kaca,R_4027.jpg,.jpg,202,250,0.808,50500,12.16,RGB
Kaca,R_4028.jpg,.jpg,190,266,0.7143,50540,9.29,RGB
Kaca,R_4029.jpg,.jpg,256,197,1.2995,50432,10.68,RGB
Kaca,R_4030.jpg,.jpg,225,225,1.0,50625,3.02,RGB
Kaca,R_4031.jpg,.jpg,198,254,0.7795,50292,4.03,RGB
Kaca,R_4032.jpg,.jpg,183,276,0.663,50508,5.86,RGB
Kaca,R_4033.jpg,.jpg,91,214,0.4252,19474,2.77,RGB
Kaca,R_4034.jpg,.jpg,183,276,0.663,50508,5.37,RGB
Kaca,R_4035.jpg,.jpg,225,225,1.0,50625,10.63,RGB
Kaca,R_4036.jpg,.jpg,222,227,0.978,50394,13.53,RGB
Kaca,R_4037.jpg,.jpg,275,183,1.5027,50325,14.01,RGB
Kaca,R_4038.jpg,.jpg,73,264,0.2765,19272,4.7,RGB
Kaca,R_4039.jpg,.jpg,194,259,0.749,50246,3.12,RGB
Kaca,R_4040.jpg,.jpg,225,225,1.0,50625,18.14,RGB
Kaca,R_4041.jpg,.jpg,268,188,1.4255,50384,10.4,RGB
Kaca,R_4042.jpg,.jpg,201,250,0.804,50250,3.38,RGB
Kaca,R_4043.jpg,.jpg,225,225,1.0,50625,3.7,RGB
Kaca,R_4044.jpg,.jpg,190,266,0.7143,50540,7.41,RGB
Kaca,R_4045.jpg,.jpg,217,232,0.9353,50344,6.26,RGB
Kaca,R_4047.jpg,.jpg,246,205,1.2,50430,16.5,RGB
Kaca,R_4048.jpg,.jpg,268,188,1.4255,50384,10.26,RGB
Kaca,R_4049.jpg,.jpg,180,195,0.9231,35100,3.4,RGB
Kaca,R_4050.jpg,.jpg,184,275,0.6691,50600,3.78,RGB
Kaca,R_4051.jpg,.jpg,259,194,1.3351,50246,9.54,RGB
Kaca,R_4052.jpg,.jpg,225,225,1.0,50625,6.55,RGB
Kaca,R_4053.jpg,.jpg,225,225,1.0,50625,2.48,RGB
Kaca,R_4054.jpg,.jpg,183,275,0.6655,50325,6.46,RGB
Kaca,R_4055.jpg,.jpg,91,215,0.4233,19565,4.5,RGB
Kaca,R_4056.jpg,.jpg,265,190,1.3947,50350,4.45,RGB
Kaca,R_4057.jpg,.jpg,199,253,0.7866,50347,6.61,RGB
Kaca,R_4058.jpg,.jpg,256,197,1.2995,50432,10.42,RGB
Kaca,R_4059.jpg,.jpg,201,251,0.8008,50451,5.4,RGB
Kaca,R_4060.jpg,.jpg,193,262,0.7366,50566,3.33,RGB
Kaca,R_4061.jpg,.jpg,235,215,1.093,50525,5.52,RGB
Kaca,R_4062.jpg,.jpg,208,242,0.8595,50336,8.27,RGB
Kaca,R_4063.jpg,.jpg,225,225,1.0,50625,3.69,RGB
Kaca,R_4064.jpg,.jpg,200,200,1.0,40000,1.35,P
Kaca,R_4066.jpg,.jpg,220,230,0.9565,50600,4.52,RGB
Kaca,R_4067.jpg,.jpg,225,225,1.0,50625,4.4,RGB
Kaca,R_4068.jpg,.jpg,194,259,0.749,50246,3.21,RGB
Kaca,R_4069.jpg,.jpg,183,275,0.6655,50325,4.22,RGB
Kaca,R_4070.jpg,.jpg,181,278,0.6511,50318,11.98,RGB
Kaca,R_4071.jpg,.jpg,308,163,1.8896,50204,4.91,RGB
Kaca,R_4072.jpg,.jpg,300,168,1.7857,50400,8.34,RGB
Kaca,R_4073.jpg,.jpg,160,314,0.5096,50240,7.02,RGB
Kaca,R_4074.jpg,.jpg,72,269,0.2677,19368,4.11,RGB
Kaca,R_4075.jpg,.jpg,310,163,1.9018,50530,2.72,RGB
Kaca,R_4076.jpg,.jpg,183,275,0.6655,50325,8.94,RGB
Kaca,R_4077.jpg,.jpg,343,147,2.3333,50421,9.28,RGB
Kaca,R_4078.jpg,.jpg,184,274,0.6715,50416,3.77,RGB
Kaca,R_4079.jpg,.jpg,194,259,0.749,50246,5.95,RGB
Kaca,R_4080.jpg,.jpg,222,227,0.978,50394,8.26,RGB
Kaca,R_4081.jpg,.jpg,327,154,2.1234,50358,7.3,RGB
Kaca,R_4082.jpg,.jpg,254,198,1.2828,50292,12.58,RGB
Kaca,R_4083.jpg,.jpg,194,259,0.749,50246,11.59,RGB
Kaca,R_4084.jpg,.jpg,190,266,0.7143,50540,11.79,RGB
Kaca,R_4086.jpg,.jpg,225,225,1.0,50625,6.83,RGB
Kaca,R_4087.jpg,.jpg,253,199,1.2714,50347,12.72,RGB
Kaca,R_4088.jpg,.jpg,275,183,1.5027,50325,6.5,RGB
Kaca,R_4091.jpg,.jpg,210,241,0.8714,50610,7.4,RGB
Kaca,R_4092.jpg,.jpg,225,225,1.0,50625,2.17,P
Kaca,R_4094.jpg,.jpg,259,194,1.3351,50246,3.94,RGB
Kaca,R_4095.jpg,.jpg,199,253,0.7866,50347,4.68,RGB
Kaca,R_4096.jpg,.jpg,85,228,0.3728,19380,3.51,RGB
Kaca,R_4097.jpg,.jpg,225,225,1.0,50625,4.51,RGB
Kaca,R_4098.jpg,.jpg,202,249,0.8112,50298,3.57,RGB
Kaca,R_4100.jpg,.jpg,259,194,1.3351,50246,10.98,RGB
Kaca,R_4101.jpg,.jpg,225,225,1.0,50625,6.58,RGB
Kaca,R_4102.jpg,.jpg,225,225,1.0,50625,11.36,RGB
Kaca,R_4103.jpg,.jpg,83,233,0.3562,19339,3.78,RGB
Kaca,R_4104.jpg,.jpg,80,244,0.3279,19520,4.47,RGB
Kaca,R_4105.jpg,.jpg,92,211,0.436,19412,2.81,RGB
Kaca,R_4106.jpg,.jpg,183,275,0.6655,50325,4.04,RGB
Kaca,R_4107.jpg,.jpg,259,194,1.3351,50246,9.36,RGB
Kaca,R_4108.jpg,.jpg,183,275,0.6655,50325,7.61,RGB
Kaca,R_4109.jpg,.jpg,225,225,1.0,50625,3.96,RGB
Kaca,R_4110.jpg,.jpg,290,174,1.6667,50460,9.66,RGB
Kaca,R_4111.jpg,.jpg,225,225,1.0,50625,8.85,RGB
Kaca,R_4112.jpg,.jpg,200,252,0.7937,50400,8.32,RGB
Kaca,R_4113.jpg,.jpg,199,253,0.7866,50347,3.61,RGB
Kaca,R_4114.jpg,.jpg,259,194,1.3351,50246,7.51,RGB
Kaca,R_4115.jpg,.jpg,183,276,0.663,50508,8.47,RGB
Kaca,R_4116.jpg,.jpg,308,163,1.8896,50204,3.5,RGB
Kaca,R_4117.jpg,.jpg,187,270,0.6926,50490,6.49,RGB
Kaca,R_4118.jpg,.jpg,194,259,0.749,50246,3.41,RGB
Kaca,R_4119.jpg,.jpg,259,194,1.3351,50246,7.95,RGB
Kaca,R_4121.jpg,.jpg,225,225,1.0,50625,5.02,RGB
Kaca,R_4122.jpg,.jpg,264,191,1.3822,50424,7.61,RGB
Kaca,R_4123.jpg,.jpg,225,225,1.0,50625,3.63,RGB
Kaca,R_4124.jpg,.jpg,194,259,0.749,50246,8.12,RGB
Kaca,R_4125.jpg,.jpg,275,183,1.5027,50325,5.45,RGB
Kaca,R_4126.jpg,.jpg,197,256,0.7695,50432,11.4,RGB
Kaca,R_4127.jpg,.jpg,460,109,4.2202,50140,11.11,RGB
Kaca,R_4128.jpg,.jpg,164,307,0.5342,50348,8.25,RGB
Kaca,R_4129.jpg,.jpg,225,225,1.0,50625,2.99,RGB
Kaca,R_4130.jpg,.jpg,289,175,1.6514,50575,10.74,RGB
Kaca,R_4131.jpg,.jpg,183,275,0.6655,50325,6.7,RGB
Kaca,R_4132.jpg,.jpg,194,259,0.749,50246,5.75,RGB
Kaca,R_4133.jpg,.jpg,92,212,0.434,19504,2.6,RGB
Kaca,R_4135.jpg,.jpg,194,259,0.749,50246,5.61,RGB
Kaca,R_4136.jpg,.jpg,76,256,0.2969,19456,4.03,RGB
Kaca,R_4137.jpg,.jpg,163,310,0.5258,50530,7.12,RGB
Kaca,R_4138.jpg,.jpg,225,225,1.0,50625,1.56,RGB
Kaca,R_4139.jpg,.jpg,286,176,1.625,50336,3.46,RGB
Kaca,R_4140.jpg,.jpg,284,177,1.6045,50268,12.82,RGB
Kaca,R_4141.jpg,.jpg,225,225,1.0,50625,2.64,RGB
Kaca,R_4142.jpg,.jpg,195,258,0.7558,50310,7.24,RGB
Kaca,R_4143.jpg,.jpg,168,300,0.56,50400,8.95,RGB
Kaca,R_4144.jpg,.jpg,389,129,3.0155,50181,12.28,RGB
Kaca,R_4145.jpg,.jpg,185,273,0.6777,50505,4.71,RGB
Kaca,R_4146.jpg,.jpg,259,194,1.3351,50246,8.42,RGB
Kaca,R_4148.jpg,.jpg,225,225,1.0,50625,15.48,RGB
Kaca,R_4149.jpg,.jpg,201,251,0.8008,50451,2.74,RGB
Kaca,R_4150.jpg,.jpg,201,251,0.8008,50451,3.04,RGB
Kaca,R_4151.jpg,.jpg,225,225,1.0,50625,7.43,RGB
Kaca,R_4152.jpg,.jpg,194,260,0.7462,50440,11.61,RGB
Kaca,R_4153.jpg,.jpg,237,213,1.1127,50481,6.83,RGB
Kaca,R_4154.jpg,.jpg,184,274,0.6715,50416,4.82,RGB
Kaca,R_4155.jpg,.jpg,215,235,0.9149,50525,7.97,RGB
Kaca,R_4156.jpg,.jpg,225,225,1.0,50625,2.33,RGB
Kaca,R_4157.jpg,.jpg,255,198,1.2879,50490,7.29,RGB
Kaca,R_4159.jpg,.jpg,225,225,1.0,50625,6.16,RGB
Kaca,R_4160.jpg,.jpg,183,275,0.6655,50325,2.86,RGB
Kaca,R_4161.jpg,.jpg,168,300,0.56,50400,8.98,RGB
Kaca,R_4162.jpg,.jpg,225,225,1.0,50625,3.91,RGB
Kaca,R_4163.jpg,.jpg,202,249,0.8112,50298,2.61,RGB
Kaca,R_4164.jpg,.jpg,184,275,0.6691,50600,5.39,RGB
Kaca,R_4165.jpg,.jpg,225,225,1.0,50625,2.28,RGB
Kaca,R_4166.jpg,.jpg,225,225,1.0,50625,6.89,RGB
Kaca,R_4167.jpg,.jpg,217,232,0.9353,50344,8.68,RGB
Kaca,R_4168.jpg,.jpg,189,267,0.7079,50463,1.45,P
Kaca,R_4169.jpg,.jpg,300,168,1.7857,50400,4.12,RGB
Kaca,R_4170.jpg,.jpg,258,195,1.3231,50310,11.4,P
Kaca,R_4171.jpg,.jpg,225,225,1.0,50625,8.09,RGB
Kaca,R_4172.jpg,.jpg,233,216,1.0787,50328,9.23,RGB
Kaca,R_4173.jpg,.jpg,92,212,0.434,19504,1.98,RGB
Kaca,R_4174.jpg,.jpg,243,208,1.1683,50544,5.96,RGB
Kaca,R_4175.jpg,.jpg,90,216,0.4167,19440,4.6,RGB
Kaca,R_4176.jpg,.jpg,179,281,0.637,50299,5.5,RGB
Kaca,R_4177.jpg,.jpg,225,224,1.0045,50400,11.55,RGB
Kaca,R_4178.jpg,.jpg,210,240,0.875,50400,5.37,RGB
Kaca,R_4179.jpg,.jpg,212,237,0.8945,50244,5.59,RGB
Kaca,R_4180.jpg,.jpg,95,204,0.4657,19380,2.12,RGB
Kaca,R_4181.jpg,.jpg,322,157,2.051,50554,6.58,RGB
Kaca,R_4183.jpg,.jpg,224,225,0.9956,50400,5.1,RGB
Kaca,R_4184.jpg,.jpg,319,158,2.019,50402,6.96,RGB
Kaca,R_4185.jpg,.jpg,207,244,0.8484,50508,6.19,RGB
Kaca,R_4186.jpg,.jpg,259,194,1.3351,50246,6.25,RGB
Kaca,R_4187.jpg,.jpg,274,184,1.4891,50416,10.46,RGB
Kaca,R_4188.jpg,.jpg,241,209,1.1531,50369,10.38,RGB
Kaca,R_4189.jpg,.jpg,254,198,1.2828,50292,9.7,RGB
Kaca,R_4191.jpg,.jpg,239,211,1.1327,50429,10.41,RGB
Kaca,R_4192.jpg,.jpg,216,234,0.9231,50544,7.38,RGB
Kaca,R_4193.jpg,.jpg,196,258,0.7597,50568,3.95,RGB
Kaca,R_4195.jpg,.jpg,199,253,0.7866,50347,10.14,RGB
Kaca,R_4196.jpg,.jpg,86,226,0.3805,19436,4.27,RGB
Kaca,R_4197.jpg,.jpg,206,245,0.8408,50470,8.91,RGB
Kaca,R_4198.jpg,.jpg,224,224,1.0,50176,3.85,RGB
Kaca,R_4199.jpg,.jpg,352,143,2.4615,50336,5.93,RGB
Kaca,R_4200.jpg,.jpg,211,239,0.8828,50429,13.04,RGB
Kaca,R_4201.jpg,.jpg,73,265,0.2755,19345,4.17,RGB
Kaca,R_4202.jpg,.jpg,225,225,1.0,50625,8.83,RGB
Kaca,R_4204.jpg,.jpg,194,259,0.749,50246,4.04,RGB
Kaca,R_4205.jpg,.jpg,318,159,2.0,50562,6.49,RGB
Kaca,R_4206.jpg,.jpg,275,183,1.5027,50325,9.71,RGB
Kaca,R_4207.jpg,.jpg,173,291,0.5945,50343,9.07,RGB
Kaca,R_4208.jpg,.jpg,183,275,0.6655,50325,5.38,RGB
Kaca,R_4209.jpg,.jpg,236,213,1.108,50268,6.76,RGB
Kaca,R_4211.jpg,.jpg,225,225,1.0,50625,8.11,RGB
Kaca,R_4212.jpg,.jpg,179,281,0.637,50299,2.78,RGB
Kaca,R_4214.jpg,.jpg,182,276,0.6594,50232,15.38,RGB
Kaca,R_4215.jpg,.jpg,231,218,1.0596,50358,9.83,RGB
Kaca,R_4216.jpg,.jpg,225,225,1.0,50625,12.58,RGB
Kaca,R_4217.jpg,.jpg,86,227,0.3789,19522,4.28,RGB
Kaca,R_4218.jpg,.jpg,163,310,0.5258,50530,7.2,RGB
Kaca,R_4219.jpg,.jpg,440,114,3.8596,50160,10.54,RGB
Kaca,R_4220.jpg,.jpg,201,251,0.8008,50451,4.3,RGB
Kaca,R_4221.jpg,.jpg,194,259,0.749,50246,6.43,RGB
Kaca,R_4222.jpg,.jpg,180,279,0.6452,50220,10.64,RGB
Kaca,R_4223.jpg,.jpg,172,293,0.587,50396,5.05,RGB
Kaca,R_4224.jpg,.jpg,225,225,1.0,50625,10.21,RGB
Kaca,R_4225.jpg,.jpg,253,199,1.2714,50347,11.51,RGB
Kaca,R_4226.jpg,.jpg,217,232,0.9353,50344,11.12,RGB
Kaca,R_4227.jpg,.jpg,185,273,0.6777,50505,7.13,RGB
Kaca,R_4228.jpg,.jpg,261,193,1.3523,50373,9.0,RGB
Kaca,R_4229.jpg,.jpg,259,194,1.3351,50246,5.78,RGB
Kaca,R_4230.jpg,.jpg,275,183,1.5027,50325,20.21,RGB
Kaca,R_4231.jpg,.jpg,206,244,0.8443,50264,6.83,RGB
Kaca,R_4232.jpg,.jpg,201,251,0.8008,50451,4.35,RGB
Kaca,R_4233.jpg,.jpg,194,259,0.749,50246,15.86,RGB
Kaca,R_4234.jpg,.jpg,248,203,1.2217,50344,6.6,RGB
Kaca,R_4235.jpg,.jpg,225,225,1.0,50625,8.9,RGB
